,id,name,workExperience,degree,workLocation
0,129934,银泰商业-高级Android&前端开发工程师,三年以上,本科,杭州
1,96198,阿里巴巴银泰商业-Java开发专家-杭州,五年以上,本科,杭州
2,131821,CCO技术部-高级前端工程师-杭州,三年以上,本科,杭州
3,128556,智能引擎事业部-高级解决方案/业务架构师-（杭州）,三年以上,本科,杭州
4,121147,支付宝-保障解决方案架构师/高级架构师-行业技术,五年以上,本科,"杭州,上海,成都"
5,128836,盒马-高级JAVA开发工程师-盒马邻里,四年以上,本科,杭州
6,127921,阿里集团-飞猪技术部-前端高级工程师/专家-北京,三年以上,本科,北京
7,131299,CCO-算法专家-小蜜对话机器人,三年以上,硕士,杭州
8,131827,Lazada-前端开发工程师/专家-商家端-深圳,四年以上,本科,深圳
9,126505,高德-Android高级研发工程师/专家-北京,三年以上,本科,北京
10,128343,阿里集团-数据情报专家 -北京,三年以上,本科,北京
11,128090,阿里集团-飞猪技术部-iOS/Android开发工程师/专家-杭州,三年以上,本科,杭州
12,127950,阿里集团-飞猪技术部-iOS/Android开发工程师/专家-北京,三年以上,本科,北京
13,128084,阿里集团-飞猪技术部-高级前端工程师/前端开发专家-杭州,三年以上,本科,杭州
14,113917,高德-JAVA开发专家-行业研发线,三年以上,本科,北京
15,128672,智能引擎事业部-高级搜索算法工程师/专家-云服务（杭州）,三年以上,本科,杭州
16,104170,阿里影业-高级前端开发工程师-北京,三年以上,本科,北京
17,131379,淘系技术部-前端开发专家/资深工程师-J项目-杭州,二年以上,本科,杭州
18,110734,阿里云智能事业群-应用算法高级工程师/专家（云通信）-北京/杭州,五年以上,本科,杭州
19,131382,淘系技术部-服务端开发专家/资深工程师--J项目-杭州,三年以上,本科,杭州
20,129148,蚂蚁集团-智能科技-区块链平台/存储测试开发专家,二年以上,本科,"上海,杭州,北京"
21,131105,淘系技术部-测试开发工程师/专家--X项目-杭州,二年以上,本科,杭州
22,121879,蚂蚁集团-客户端开发专家/高级专家（IOT）-支付宝,三年以上,硕士,"杭州,北京"
23,127046,支付宝-java研发岗位通道-北京,三年以上,本科,北京
24,131772,支付宝-JAVA技术专家/高级工程师-支付业务,二年以上,本科,"杭州,上海,北京"
25,128681,蚂蚁集团-支付宝-解决方案架构师/高级解决方案工程师,三年以上,本科,杭州
26,127931,阿里集团-飞猪技术部-安全/逆向工程师-杭州,三年以上,本科,杭州
27,108810,支付宝-Java研发专项（P5/P6/P7）-行业研发,二年以上,本科,"杭州,上海,成都"
28,119102,蚂蚁集团-行业解决方案高级工程师/架构师-行业技术,三年以上,本科,"上海,成都,杭州,北京,深圳"
29,107398,蚂蚁集团-前端、Nodejs、Java 高级工程师/专家-支付宝,二年以上,本科,"杭州,广州,上海,成都"
30,130955,Lazada-2022届校招全职-Java开发工程师-商家端方向-深圳,应届毕业生,本科,深圳
31,131252,蚂蚁集团-应用算法-支付宝,三年以上,本科,成都
32,131519,蚂蚁集团-高级算法工程师/专家（P6/P7）-行业,二年以上,本科,"杭州,上海"
33,131775,支付宝-JAVA高级开发工程师/开发专家-公益,三年以上,本科,北京
34,129374,新零售技术事业群-服务端架构师-淘系技术部,五年以上,本科,杭州
35,131798,阿里集团-移动安全检测高级工程师-北京/杭州,三年以上,本科,"北京,杭州"
36,101691,阿里妈妈技术-测试开发工程师/专家-北京/杭州,三年以上,本科,北京
37,124422,MMC技术部-物流履约-高级JAVA开发工程师-杭州,三年以上,本科,杭州
38,99407,蚂蚁集团-技术服务专家-杭州,五年以上,本科,杭州
39,131192,阿里云智能事业群-生态工具2021年招聘入口-杭州/北京/.深圳,三年以上,本科,"杭州,北京,深圳"
40,124025,阿里集团-Java 资深开发工程师/技术专家-智慧交通方向,三年以上,本科,北京
